,User_Name,Twitter_Name,Location,Bio,Tweet,city_police,media,Language,Tweet_Link,is_Retweeted,Original_Tweet_by,Hashtags,User_Mentions,tweet_date,tweet_time
10,Vikram Alva,VikramAlva,India,"Arsenal fan, loves sports, marketing and sales professional , doting father, President @car_trade & @carwale. All views are my own.","RT @nikhilchawla: My wife @NehaChawla_ and I have been assaulted, tortured and threatened for life. FIR filed! Waiting for @DelhiPolice, @D…",Delhi,[],en,https://twitter.com/statuses/1139095006910664704,yes,nikhilchawla,"['DlfIndia', 'AnimalCruelty', 'HumanTorture']","['JLLIndia', 'Manekagandhibjp', 'DCPNewDelhi', 'PFA', 'PetaIndia', 'NehaChawla_', 'DCPWestDelhi', 'DelhiPolice', 'nikhilchawla', 'AmitShah']",Jun-13-2019,08:59:47
11,vinod kumar,chvinod20051,,,@dtptraffic @JasvinderSolank @sachinredbull @DelhiPolice @sudhirchaudhary सर मै नोर्थ छज्जुपूंर 100 फुट रोड नः 68 शाहदरा थाना ज्योति नगर निवासी हुँ और इस रोड़ टैफिक का बहुत ही बुरा हाल है जैसे मैन रोड पर प्राकिग और रोग साईड ड्रईविग जिस कारण सड़क पर चलना मोत को गले लगाने जैसा है कृप्या उचित कारवाई करे दुखी निवासी,Delhi,[],hi,https://twitter.com/statuses/1139094638772408320,no,NA,[],"['dtptraffic', 'sachinredbull', 'sudhirchaudhary', 'DelhiPolice', 'JasvinderSolank']",Jun-13-2019,08:58:19
12,जय हिंद । जय हिंद कि सेना।,Asharma1306,ब्रह्माण्ड (देव लोक),Part timer twitterati . Mechanical Engineer.QS.Patriot. Modi Supporter without any expectations. Only want India to grow. proud father of my li’l princess 👼🏻.,"@KapilMishra_IND @DelhiPolice से गुज़ारिश है।कि ऐसे दंगाइयो की तशरीफ़ लाल की जाए। ताकि दुबारा तशरीफ़ रखने लायक़ ना रहे और ऐसी गुस्ताखी ना करे कम्बख़त। 

गाय का दूध तो इन ज़ालिमो ने भी पिया होगा । पर अफ़सोस ये घटिया पैदाईश के नुमाईन्दे हैं। सूअर के बच्चे।",Delhi,[],hi,https://twitter.com/statuses/1139094516126949377,no,NA,[],"['DelhiPolice', 'KapilMishra_IND']",Jun-13-2019,08:57:50
13,Axis Communications,INDIA_Axis,,Axis is an IT company offering network video solutions for professional installations. Follow @AxisIPVideo for global news!,"#CCTV #footage helped @DelhiPolice arrest a businessman, who runs a real-estate firm, for stealing a Mercedes registered in his name #SafeCity #SmartSurveillance @CNNnews18 https://t.co/VhjcM3MN5w",Delhi,[],en,https://twitter.com/statuses/1139094511752175616,no,NA,"['footage', 'SmartSurveillance', 'CCTV', 'SafeCity']","['CNNnews18', 'DelhiPolice']",Jun-13-2019,08:57:49
14,Rhea Vadhera,RheaVadhera,,,RT @Mynation_BH: @RheaVadhera @beta_bachao @SaurabhBahugu17 @MsBhardwaj18 @SumitandR @NitinSaini1411 @Laws4Men @Cold_Thinker @AsertinSusey…,Delhi,[],und,https://twitter.com/statuses/1139094085203980290,yes,Mynation_BH,"['legalTerrorism', 'CrimeByWomen', 'MensCommission', 'Arrestpoojasharma', 'FakeCases_498A_DV_125_377_376', 'AblaNari', 'GenderBlindLaws', 'womenempowerment', 'GenderNeutralLaws', 'HeBox', 'HelpMeMyNation']","['Manekagandhibjp', 'MyNation_Delhi', 'UNICEF', 'NitinSaini1411', 'delhipolice1', 'DC_Ranchi', 'MinistryWCD', 'pkrdefence', 'CrusaderMra', 'PMOIndia', 'MyNationCrusad1', 'Laws4Men', 'SaurabhBahugu17', 'upcoprahul', 'AshokKhemka_IAS', 'RheaVadhera', 'SriRudyBABA', 'AsertinSusey', 'beta_bachao', 'MynationShar', 'iamarunjain', 'Cold_Thinker', 'CMOfficeUP', 'MsBhardwaj18', 'Keyadas63', 'SwatiJaiHind', 'SumitandR', 'actoranirudha', 'IndianExpress', 'Uppolice', 'rsprasad', 'MyNation_net', 'mynation_F4JSTC', 'navsekera', 'unbroken_007', 'SushmaSwaraj', 'UpPolicemitra', 'ndtv', 'kanpurnagarpol', 'up100', 'MRALeo1', 'HemantP57063386', 'akashtomarips', 'satyan_weshi', 'Amitabhthakur', 'RKoshaaley', 'unwomenindia', 'CMOMaharashtra', 'DelhiPolice', 'Mynation_BH', 'ranjanakumari']",Jun-13-2019,08:56:07
15,MyNation BIHAR OFFICIAL,Mynation_BH,"Bihar, India","MyNation[https://t.co/CrnDkplsK8] BIHAR OFFICIAL
MyNation Hope Foundation a registered NGO & support group for the Victims of Legal Terrorism, DV, 498A & other biased law.","@RheaVadhera @beta_bachao @SaurabhBahugu17 @MsBhardwaj18 @SumitandR @NitinSaini1411 @Laws4Men @Cold_Thinker @AsertinSusey @satyan_weshi @MyNationCrusad1 @iamarunjain @HemantP57063386 @MynationShar @mynation_F4JSTC @pkrdefence @MyNation_net @Keyadas63 @unbroken_007 @MRALeo1 @RKoshaaley @CrusaderMra @SriRudyBABA @PMOIndia @MinistryWCD @rsprasad @ndtv @IndianExpress @UNICEF @unwomenindia @UpPolicemitra @Uppolice @up100 @upcoprahul @navsekera @kanpurnagarpol @Manekagandhibjp @ranjanakumari @SwatiJaiHind @SushmaSwaraj @CMOfficeUP @CMOMaharashtra @actoranirudha @akashtomarips @Amitabhthakur @AshokKhemka_IAS @DC_Ranchi #CrimeByWomen 230

#AblaNari
#womenempowerment
#MensCommission #legalTerrorism 
#GenderBlindLaws
#FakeCases_498A_DV_125_377_376 

#GenderNeutralLaws

#Arrestpoojasharma
#HeBox
#HelpMeMyNation..

@MyNation_Delhi
@DelhiPolice
@delhipolice1

https://t.co/hByf0P4kEI",Delhi,[],und,https://twitter.com/statuses/1139093902554615808,no,NA,"['legalTerrorism', 'CrimeByWomen', 'MensCommission', 'Arrestpoojasharma', 'FakeCases_498A_DV_125_377_376', 'AblaNari', 'GenderBlindLaws', 'womenempowerment', 'GenderNeutralLaws', 'HeBox', 'HelpMeMyNation']","['Manekagandhibjp', 'MyNation_Delhi', 'UNICEF', 'NitinSaini1411', 'delhipolice1', 'DC_Ranchi', 'MinistryWCD', 'pkrdefence', 'CrusaderMra', 'PMOIndia', 'MyNationCrusad1', 'Laws4Men', 'SaurabhBahugu17', 'upcoprahul', 'AshokKhemka_IAS', 'RheaVadhera', 'SriRudyBABA', 'AsertinSusey', 'beta_bachao', 'MynationShar', 'iamarunjain', 'Cold_Thinker', 'CMOfficeUP', 'MsBhardwaj18', 'Keyadas63', 'SwatiJaiHind', 'SumitandR', 'actoranirudha', 'IndianExpress', 'Uppolice', 'rsprasad', 'MyNation_net', 'mynation_F4JSTC', 'navsekera', 'unbroken_007', 'SushmaSwaraj', 'UpPolicemitra', 'ndtv', 'kanpurnagarpol', 'up100', 'MRALeo1', 'HemantP57063386', 'akashtomarips', 'satyan_weshi', 'Amitabhthakur', 'RKoshaaley', 'unwomenindia', 'CMOMaharashtra', 'DelhiPolice', 'ranjanakumari']",Jun-13-2019,08:55:24
16,Pramod,pramod_2926,,,@RPFNRDLI @ca94b7a713a74ff @RailwaySeva @RailMinIndia @DelhiPolice Gr8 work.....,Delhi,[],en,https://twitter.com/statuses/1139093898028994560,no,NA,[],"['ca94b7a713a74ff', 'RailMinIndia', 'DelhiPolice', 'RPFNRDLI', 'RailwaySeva']",Jun-13-2019,08:55:23
17,Sadhvi,creation_lazy,"New Delhi, India",Sports Comedy and Humour Lifestyle News TV Government & Public Utilities Politicians and Pol Parties,"RT @nikhilchawla: My wife @NehaChawla_ and I have been assaulted, tortured and threatened for life. FIR filed! Waiting for @DelhiPolice, @D…",Delhi,[],en,https://twitter.com/statuses/1139093598077513728,yes,nikhilchawla,"['DlfIndia', 'AnimalCruelty', 'HumanTorture']","['JLLIndia', 'Manekagandhibjp', 'DCPNewDelhi', 'PFA', 'PetaIndia', 'NehaChawla_', 'DCPWestDelhi', 'DelhiPolice', 'nikhilchawla', 'AmitShah']",Jun-13-2019,08:54:11
18,Siddhartha Roy 🙋🏻‍♂️,SiddharthaRoy_1,My Incredible India,"College student, Technology searcher, Social bug, Gaming is my hobby, Photography Learner, Foody who loves to eat, Lazy guy who hates to wake up early.","@nikhilchawla @NehaChawla_ @DelhiPolice @DCPNewDelhi @DCPWestDelhi @JLLIndia @AmitShah @Manekagandhibjp @PFA @PetaIndia @BiIndia @AmitShahOffice @indiatvnews @ndtv @ians_india @PritishNandy @pfaindia Yaa I saw in your Facebook post this really very. You and misses Chawla do so much for these poor animals. Instead of  appreciating your work, they are doing criminal acts. #ShameOnThem 
Police should take strict action against those creaps.",Delhi,[],en,https://twitter.com/statuses/1139093333395906561,no,NA,['ShameOnThem'],"['JLLIndia', 'Manekagandhibjp', 'pfaindia', 'DCPNewDelhi', 'ians_india', 'PFA', 'PetaIndia', 'BiIndia', 'indiatvnews', 'NehaChawla_', 'PritishNandy', 'ndtv', 'DCPWestDelhi', 'DelhiPolice', 'nikhilchawla', 'AmitShah', 'AmitShahOffice']",Jun-13-2019,08:53:08
19,anil kumar pant,pantkpant,,,"RT @dtptraffic: @sachinredbull @DelhiPolice @sudhirchaudhary Sir,registration no. of the bike is not clear hence can't be prosecuted.",Delhi,[],en,https://twitter.com/statuses/1139093141753978880,yes,dtptraffic,[],"['sachinredbull', 'DelhiPolice', 'sudhirchaudhary', 'dtptraffic']",Jun-13-2019,08:52:22
20,Sudhir Upadhyay,SudhirU1958,,,@dtptraffic @sachinredbull @DelhiPolice @sudhirchaudhary Sir when common people can see the registration number why you people cannot see the same. Do you want to protect your colleagues.,Delhi,[],en,https://twitter.com/statuses/1139093057268330497,no,NA,[],"['sachinredbull', 'DelhiPolice', 'sudhirchaudhary', 'dtptraffic']",Jun-13-2019,08:52:02
21,Pramod Kumar9140030675,kumar00728,,,Graded learning programe @DelhiPolice https://t.co/c90O4Xgjbt,Delhi,['https://twitter.com/kumar00728/status/1139092953610067968/photo/1'],en,https://twitter.com/statuses/1139092953610067968,no,NA,[],['DelhiPolice'],Jun-13-2019,08:51:38
22,Rajesh kumar Roy,Rajeshk79714254,"New Delhi, India",,"RT @apnlivehindi: दिल्ली के नेताजी सुभाष प्लेस इलाके में पुलिस और बदमाश के बीच मुठभेड़ 
@DelhiPolice #Delhi",Delhi,[],hi,https://twitter.com/statuses/1139092451702894592,yes,apnlivehindi,['Delhi'],"['DelhiPolice', 'apnlivehindi']",Jun-13-2019,08:49:38
23,Vinod Singh,vinod_vsrajput,"Delhi, India",,@dtptraffic @itsenufapp @JagoriSafeDelhi @DelhiPolice @OfficialSdmc @tweetndmc @official_dda @DelhiPwd @bsesdelhi The area under TPDDL. not a BSES,Delhi,[],en,https://twitter.com/statuses/1139092267098988544,no,NA,[],"['JagoriSafeDelhi', 'itsenufapp', 'official_dda', 'OfficialSdmc', 'dtptraffic', 'tweetndmc', 'bsesdelhi', 'DelhiPolice', 'DelhiPwd']",Jun-13-2019,08:48:54
24,Rajat Kumar,techyrajat, INDIA,#SocialMedian🚦 ! #Blogger💡 | #Traveler✈| #Gamer🎮| #Photographer 📷| #Contestant 🎯|,@nikhilchawla @NehaChawla_ @DelhiPolice @DCPNewDelhi @DCPWestDelhi @JLLIndia @AmitShah @Manekagandhibjp @PFA @PetaIndia @BiIndia @AmitShahOffice @indiatvnews @ndtv @ians_india @PritishNandy @pfaindia 😱😱😱  ( Very Bad ),Delhi,[],en,https://twitter.com/statuses/1139092101046472704,no,NA,[],"['JLLIndia', 'Manekagandhibjp', 'pfaindia', 'DCPNewDelhi', 'ians_india', 'PFA', 'PetaIndia', 'BiIndia', 'indiatvnews', 'NehaChawla_', 'PritishNandy', 'ndtv', 'DCPWestDelhi', 'DelhiPolice', 'nikhilchawla', 'AmitShah', 'AmitShahOffice']",Jun-13-2019,08:48:14
25,Surendra Singh-Suman,SurendraSuman25,Bristol (UK),Better to light a candle than to curse the darkness.,RT @capt_ivane: दिल्ली पुलिस ने इमरान नाम के आरोपी को गिरफ्तार किया जिसने होली के दौरान गाय की हत्या कर उसके टुकड़े कर दिल्ली के हर्ष विहार…,Delhi,[],hi,https://twitter.com/statuses/1139091981441781760,yes,capt_ivane,[],"['capt_ivane', 'DelhiPolice']",Jun-13-2019,08:47:46
26,Rajat Kumar,techyrajat, INDIA,#SocialMedian🚦 ! #Blogger💡 | #Traveler✈| #Gamer🎮| #Photographer 📷| #Contestant 🎯|,"RT @nikhilchawla: My wife @NehaChawla_ and I have been assaulted, tortured and threatened for life. FIR filed! Waiting for @DelhiPolice, @D…",Delhi,[],en,https://twitter.com/statuses/1139091587445641216,yes,nikhilchawla,"['DlfIndia', 'AnimalCruelty', 'HumanTorture']","['JLLIndia', 'Manekagandhibjp', 'DCPNewDelhi', 'PFA', 'PetaIndia', 'NehaChawla_', 'DCPWestDelhi', 'DelhiPolice', 'nikhilchawla', 'AmitShah']",Jun-13-2019,08:46:12
27,vinod kumar,chvinod20051,,,@sachinredbull @DelhiPolice @dtptraffic @sudhirchaudhary Ya loge apne aap ko nahi dekh te,Delhi,[],hi,https://twitter.com/statuses/1139091436287143936,no,NA,[],"['sachinredbull', 'sudhirchaudhary', 'dtptraffic', 'DelhiPolice']",Jun-13-2019,08:45:36
28,Shweta Mishra,shwetaa_9,"New Delhi, India",Born|raised|transferred,RT @NewsMobileIndia: #Delhi: A criminal Shrikant wanted in 12 cases including those of murders has been arrested following an encounter wit…,Delhi,[],en,https://twitter.com/statuses/1139091340300390400,yes,NewsMobileIndia,['Delhi'],"['NewsMobileIndia', 'DelhiPolice']",Jun-13-2019,08:45:13
29,Santosh Kumar,santoshkmr534,"Delhi,India",वत्क्त आने पर बता देंगे तुझे ऐ आसमां हम अभी से क्या बताएं क्या हमारे दिल में है। Love Books. Trader @nseindia,RT @capt_ivane: दिल्ली पुलिस ने इमरान नाम के आरोपी को गिरफ्तार किया जिसने होली के दौरान गाय की हत्या कर उसके टुकड़े कर दिल्ली के हर्ष विहार…,Delhi,[],hi,https://twitter.com/statuses/1139091199753461763,yes,capt_ivane,[],"['capt_ivane', 'DelhiPolice']",Jun-13-2019,08:44:39
30,vinod kumar,chvinod20051,,,@sachinredbull @DelhiPolice @dtptraffic @sudhirchaudhary Sir ya loge keval sarif logo ko pakadte ha apne aap ko nahi dekte,Delhi,[],hi,https://twitter.com/statuses/1139091123131957249,no,NA,[],"['sachinredbull', 'sudhirchaudhary', 'dtptraffic', 'DelhiPolice']",Jun-13-2019,08:44:21
31,Siddhartha Roy 🙋🏻‍♂️,SiddharthaRoy_1,My Incredible India,"College student, Technology searcher, Social bug, Gaming is my hobby, Photography Learner, Foody who loves to eat, Lazy guy who hates to wake up early.","RT @nikhilchawla: My wife @NehaChawla_ and I have been assaulted, tortured and threatened for life. FIR filed! Waiting for @DelhiPolice, @D…",Delhi,[],en,https://twitter.com/statuses/1139091095244103680,yes,nikhilchawla,"['DlfIndia', 'AnimalCruelty', 'HumanTorture']","['JLLIndia', 'Manekagandhibjp', 'DCPNewDelhi', 'PFA', 'PetaIndia', 'NehaChawla_', 'DCPWestDelhi', 'DelhiPolice', 'nikhilchawla', 'AmitShah']",Jun-13-2019,08:44:15
32,News24 India,news24tvchannel,Noida,"Official Twitter handle of News24, Leading Hindi News Channel","अंतरराष्ट्रीय योग दिवस को लेकर सुरक्षा व्यवस्था बनाने में जुटी दिल्ली पुलिस
@DelhiPolice 

https://t.co/ZFNXZCruSA",Delhi,[],hi,https://twitter.com/statuses/1139090973709938689,no,NA,[],['DelhiPolice'],Jun-13-2019,08:43:46
33,विशाल योगी,vishalyogi18,"Indore, India","I'm an Entrepreneur, Dreamer and Doer
Followed By @piyushgoyaloffc,  ⛳
Fan Of @narendraModi",RT @capt_ivane: दिल्ली पुलिस ने इमरान नाम के आरोपी को गिरफ्तार किया जिसने होली के दौरान गाय की हत्या कर उसके टुकड़े कर दिल्ली के हर्ष विहार…,Delhi,[],hi,https://twitter.com/statuses/1139090912049545216,yes,capt_ivane,[],"['capt_ivane', 'DelhiPolice']",Jun-13-2019,08:43:31
34,Sudhir kanshi,sudhir_kanshi,"Simdega, India",,@capt_ivane @DelhiPolice काट दो साले को,Delhi,[],hi,https://twitter.com/statuses/1139090911583846401,no,NA,[],"['capt_ivane', 'DelhiPolice']",Jun-13-2019,08:43:31
35,Navodaya Times,navodayatimes,New Delhi,"Navodaya Times covers breaking news, latest news, news in politics, sports, business and cinema. Follow us for the latest in news and views.","Delhi के #RanaPratapBagh इलाके में गर्मी से भाई-बहन की मौत होने की आशंका! जाँच में जुटी Police https://t.co/Yvxfe0tw53 

@DelhiPolice #DelhiCrimeNews #DelhiCrimeUpdates #NavodayaTimes",Delhi,[],hi,https://twitter.com/statuses/1139090889249136642,no,NA,"['DelhiCrimeNews', 'DelhiCrimeUpdates', 'RanaPratapBagh', 'NavodayaTimes']",['DelhiPolice'],Jun-13-2019,08:43:25
36,Neeru,neerub22,Delhi,,@nikhilchawla @NehaChawla_ @DelhiPolice @DCPNewDelhi @DCPWestDelhi @JLLIndia @AmitShah @Manekagandhibjp @PFA @PetaIndia @BiIndia @AmitShahOffice @indiatvnews @ndtv @ians_india @PritishNandy @pfaindia What,Delhi,[],en,https://twitter.com/statuses/1139090687352119296,no,NA,[],"['JLLIndia', 'Manekagandhibjp', 'pfaindia', 'DCPNewDelhi', 'ians_india', 'PFA', 'PetaIndia', 'BiIndia', 'indiatvnews', 'NehaChawla_', 'PritishNandy', 'ndtv', 'DCPWestDelhi', 'DelhiPolice', 'nikhilchawla', 'AmitShah', 'AmitShahOffice']",Jun-13-2019,08:42:37
37,CHOWKIDAR AMIT,amitabhbhasker,"New Delhi, India",,"RT @DCPNEastDelhi: Accused arrested and weapon of offence recovered within hours of commission of offence by Team North East
@Ravindra_IPS…",Delhi,[],en,https://twitter.com/statuses/1139090499766063104,yes,DCPNEastDelhi,['KeepingDelhiSafe'],"['CPDelhi', 'Ravindra_IPS', 'DelhiPolice', 'DCPNEastDelhi', 'LtGovDelhi']",Jun-13-2019,08:41:53
38,CHOWKIDAR AMIT,amitabhbhasker,"New Delhi, India",,"RT @DCPNEastDelhi: Largest seizure of psychotropic drug Tramadol by Team North East.1,20,960 capsules with over 6 kg of Tramadol drug seize…",Delhi,[],en,https://twitter.com/statuses/1139090469722370048,yes,DCPNEastDelhi,['KeepingDelhiSafe'],"['DCPNEastDelhi', 'CPDelhi', 'LtGovDelhi', 'DelhiPolice']",Jun-13-2019,08:41:45
39,Pankaj Jha 🇮🇳,felix_pankaj,"New Delhi, India","Engineer, EV enthusiat
Socially conservative, economically liberal
Neither a #secularleftist nor a #bhakt 
Originally #maithili, culturally #bengali",@dtptraffic @sachinredbull @DelhiPolice @sudhirchaudhary Pls let us know the status of complaint. Bring transparency in the execution of law. Because law is equal to everyone be it Prime minister or a common citizen like us.,Delhi,[],en,https://twitter.com/statuses/1139090370531225600,no,NA,[],"['sachinredbull', 'DelhiPolice', 'sudhirchaudhary', 'dtptraffic']",Jun-13-2019,08:41:22
40,CHOWKIDAR AMIT,amitabhbhasker,"New Delhi, India",,"RT @DCPNEastDelhi: Extensive School Visits,Self defence training and other programs being organized for the children in order to increase a…",Delhi,[],en,https://twitter.com/statuses/1139090367310000128,yes,DCPNEastDelhi,['KeepingDelhiSafe'],"['CPDelhi', 'Ravindra_IPS', 'DelhiPolice', 'DCPNEastDelhi', 'LtGovDelhi']",Jun-13-2019,08:41:21
41,CHOWKIDAR AMIT,amitabhbhasker,"New Delhi, India",,RT @DCPNEastDelhi: Two desperate robbers held with the recovery of pistol &amp; ammunition alongwith the stolen bike used for the crime and rob…,Delhi,[],en,https://twitter.com/statuses/1139090338822254592,yes,DCPNEastDelhi,['KeepingDelhiSafe'],"['DCPNEastDelhi', 'CPDelhi', 'LtGovDelhi', 'DelhiPolice']",Jun-13-2019,08:41:14
42,CHOWKIDAR AMIT,amitabhbhasker,"New Delhi, India",,RT @bhishamsingh24: JISHAN @ PAWWA – Most wanted receiver of stolen cars in North India arrested. Dismantled and sold thousands of cars in…,Delhi,[],en,https://twitter.com/statuses/1139090267879854080,yes,bhishamsingh24,"['fightagainstcrime', 'keepingdelhisafe']","['bhishamsingh24', 'CPDelhi', 'DelhiPolice']",Jun-13-2019,08:40:57
